zip_code,approx_lat,approx_lng,primary_city,state_id,primary_county_fips,primary_county_name,all_county_weights,all_county_names,all_county_fips,active
00601,18.18027,-66.75266,Adjuntas,PR,72001,Adjuntas,"{""72001"": 98.74, ""72141"": 1.26}",Adjuntas|Utuado,72001|72141,0
00602,18.36075,-67.17541,Aguada,PR,72003,Aguada,"{""72003"": 100}",Aguada,72003,0
00603,18.45744,-67.12225,Aguadilla,PR,72005,Aguadilla,"{""72005"": 99.76, ""72099"": 0.24}",Aguadilla|Moca,72005|72099,0
00606,18.16585,-66.93716,Maricao,PR,72093,Maricao,"{""72093"": 82.26, ""72153"": 11.67, ""72121"": 6.06}",Maricao|Yauco|Sabana Grande,72093|72153|72121,0
00610,18.2911,-67.12243,Anasco,PR,72011,Añasco,"{""72011"": 96.8, ""72099"": 2.83, ""72083"": 0.37}",Añasco|Moca|Las Marías,72011|72099|72083,0
00611,18.27698,-66.80688,Angeles,PR,72141,Utuado,"{""72141"": 100}",Utuado,72141,0
00612,18.41283,-66.7051,Arecibo,PR,72013,Arecibo,"{""72013"": 98.94, ""72065"": 0.96, ""72017"": 0.1}",Arecibo|Hatillo|Barceloneta,72013|72065|72017,0
00616,18.41878,-66.6679,Bajadero,PR,72013,Arecibo,"{""72013"": 100}",Arecibo,72013,0
00617,18.44598,-66.56006,Barceloneta,PR,72017,Barceloneta,"{""72017"": 99.47, ""72054"": 0.43, ""72013"": 0.1}",Barceloneta|Florida|Arecibo,72017|72054|72013,0
00622,17.98892,-67.1566,Boqueron,PR,72023,Cabo Rojo,"{""72023"": 100}",Cabo Rojo,72023,0
00623,18.08429,-67.15336,Cabo Rojo,PR,72023,Cabo Rojo,"{""72023"": 100}",Cabo Rojo,72023,0
00624,18.05905,-66.71932,Penuelas,PR,72111,Peñuelas,"{""72111"": 94.94, ""72113"": 5.06}",Peñuelas|Ponce,72111|72113,0
00627,18.41905,-66.86037,Camuy,PR,72027,Camuy,"{""72027"": 100}",Camuy,72027,0
00631,18.1852,-66.83169,Castaner,PR,72081,Lares,"{""72081"": 50.63, ""72001"": 49.37}",Lares|Adjuntas,72081|72001,0
00637,18.081,-66.94659,Sabana Grande,PR,72121,Sabana Grande,"{""72121"": 94.02, ""72125"": 4.18, ""72079"": 1.8}",Sabana Grande|San Germán|Lajas,72121|72125|72079,0
00638,18.28462,-66.5137,Ciales,PR,72039,Ciales,"{""72039"": 91.88, ""72107"": 7.48, ""72091"": 0.64}",Ciales|Orocovis|Manatí,72039|72107|72091,0
00641,18.26742,-66.70212,Utuado,PR,72141,Utuado,"{""72141"": 100}",Utuado,72141,0
00646,18.43251,-66.28429,Dorado,PR,72051,Dorado,"{""72051"": 97.18, ""72143"": 2.82}",Dorado|Vega Alta,72051|72143,0
00647,17.96667,-66.94266,Ensenada,PR,72055,Guánica,"{""72055"": 98.2, ""72079"": 1.8}",Guánica|Lajas,72055|72079,0
00650,18.34487,-66.58347,Florida,PR,72054,Florida,"{""72054"": 47.39, ""72141"": 41.9, ""72091"": 4.27, ""72039"": 2.87, ""72013"": 2.5, ""72017"": 1.07}",Florida|Utuado|Manatí|Ciales|Arecibo|Barceloneta,72054|72141|72091|72039|72013|72017,0
00652,18.45614,-66.60194,Garrochales,PR,72013,Arecibo,"{""72013"": 100}",Arecibo,72013,0
00653,17.99413,-66.90266,Guanica,PR,72055,Guánica,"{""72055"": 97.5, ""72121"": 2.5}",Guánica|Sabana Grande,72055|72121,0
00656,18.04186,-66.79123,Guayanilla,PR,72059,Guayanilla,"{""72059"": 96.77, ""72153"": 3.1, ""72111"": 0.12}",Guayanilla|Yauco|Peñuelas,72059|72153|72111,0
